ID,Book,Authors,Subjects,Bookshelves
1656,Apology,"Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Socrates, 470 BC-399 BC; Philosophy, Ancient",Harvard Classics
1656,Apology,"Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Socrates, 470 BC-399 BC; Philosophy, Ancient",Philosophy
1657,Crito,"Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Philosophy, Ancient; Justice -- Early works to 1800; Dialogues, Greek -- Translations into English",Harvard Classics
1658,Phaedo,"Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]",Classical literature; Immortality (Philosophy) -- Early works to 1800,Harvard Classics
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",Detective Fiction
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",Contemporary Reviews
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",Banned Books from Anne Haight's list
1662,The 1997 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",CIA World Factbooks
1666,The Golden Asse,"Apuleius; Adlington, William, active 1566 [Translator]",Classical literature; Metamorphosis -- Fiction,Classical Antiquity
1666,The Golden Asse,"Apuleius; Adlington, William, active 1566 [Translator]",Classical literature; Metamorphosis -- Fiction,Banned Books from Anne Haight's list
1670,Luther's Little Instruction Book: The Small Catechism of Martin Luther,"Luther, Martin, 1483-1546; Smith, Robert E. [Translator]",Lutheran Church -- Catechisms -- English,Christianity
1671,When a Man Marries,"Rinehart, Mary Roberts, 1876-1958",Marriage -- Fiction; Quarantine -- Fiction,"Bestsellers, American, 1895-1923"
1685,The Mystery of the Yellow Room,"Leroux, Gaston, 1868-1927","Detective and mystery stories; Rouletabille, Joseph (Fictitious character) -- Fiction; Reporters and reporting -- Fiction",Detective Fiction
1686,The Secret of the Night,"Leroux, Gaston, 1868-1927","Detective and mystery stories; Rouletabille, Joseph (Fictitious character) -- Fiction; Generals -- Fiction; Attempted assassination -- Fiction",Detective Fiction
1690,Marie: An Episode in the Life of the Late Allan Quatermain,"Haggard, H. Rider (Henry Rider), 1856-1925","Quatermain, Allan (Fictitious character) -- Fiction",Adventure
1693,Dangerous Days,"Rinehart, Mary Roberts, 1876-1958","World War, 1914-1918 -- Fiction; Businessmen -- Fiction; United States -- Social life and customs -- 20th century -- Fiction; Families -- Fiction","Bestsellers, American, 1895-1923"
1694,"Our Legal Heritage: The First Thousand Years: 600 - 1600
King Aethelbert - Queen Elizabeth","Reilly, S. A.",Law -- England -- History,British Law
1695,The Man Who Was Thursday: A Nightmare,"Chesterton, G. K. (Gilbert Keith), 1874-1936",Fantasy fiction; Detective and mystery stories; London (England) -- Fiction; Anarchists -- Fiction; Allegories; Police -- Fiction,Best Books Ever Listings
1702,Little Masterpieces of Autobiography: Actors,"Iles, George, 1852-1942",Autobiographies; Actors -- Biography,Biographies
1703,Dead Men Tell No Tales,"Hornung, E. W. (Ernest William), 1866-1921",Detective and mystery stories; Man-woman relationships -- Fiction,Crime Fiction
1711,Child of Storm,"Haggard, H. Rider (Henry Rider), 1856-1925","Historical fiction; Zulu (African people) -- Fiction; Quatermain, Allan (Fictitious character) -- Fiction; Zululand (South Africa) -- History -- Fiction",Adventure
1713,"Lincoln; An Account of his Personal Life, Especially of its Springs of Action as Revealed and Deepened by the Ordeal of War","Stephenson, Nathaniel W. (Nathaniel Wright), 1867-1935","Lincoln, Abraham, 1809-1865; Presidents -- United States -- Biography",US Civil War
1722,"Martin Luther's Large Catechism, translated by Bente and Dau","Luther, Martin, 1483-1546; Bente, F. (Friedrich), 1858-1930 [Translator]; Dau, W. H. T. (William Herman Theodore), 1864-1944 [Translator]",Lutheran Church -- Catechisms -- English,Christianity
1723,Cow-Country,"Bower, B. M., 1871-1940",Western stories; Ranch life -- Fiction,Western
1724,Finished,"Haggard, H. Rider (Henry Rider), 1856-1925","War stories; Zulu (African people) -- Fiction; Quatermain, Allan (Fictitious character) -- Fiction; Zulu War, 1879 -- Fiction",Movie Books
1724,Finished,"Haggard, H. Rider (Henry Rider), 1856-1925","War stories; Zulu (African people) -- Fiction; Quatermain, Allan (Fictitious character) -- Fiction; Zulu War, 1879 -- Fiction",Adventure
1726,Theaetetus,"Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]","Classical literature; Knowledge, Theory of -- Early works to 1800",Philosophy
1727,"The Odyssey
Rendered into English prose for the use of those who cannot read the original","Homer, 751? BCE-651? BCE; Butler, Samuel, 1835-1902 [Translator]","Homer -- Translations into English; Epic poetry, Greek -- Translations into English; Odysseus, King of Ithaca (Mythological character)",Classical Antiquity
1727,"The Odyssey
Rendered into English prose for the use of those who cannot read the original","Homer, 751? BCE-651? BCE; Butler, Samuel, 1835-1902 [Translator]","Homer -- Translations into English; Epic poetry, Greek -- Translations into English; Odysseus, King of Ithaca (Mythological character)",Harvard Classics
1728,The Odyssey of Homer,"Homer, 751? BCE-651? BCE; Butcher, S. H. (Samuel Henry), 1850-1910 [Translator]; Lang, Andrew, 1844-1912 [Translator]","Homer -- Translations into English; Epic poetry, Greek -- Translations into English; Odysseus, King of Ithaca (Mythological character)",Classical Antiquity
1728,The Odyssey of Homer,"Homer, 751? BCE-651? BCE; Butcher, S. H. (Samuel Henry), 1850-1910 [Translator]; Lang, Andrew, 1844-1912 [Translator]","Homer -- Translations into English; Epic poetry, Greek -- Translations into English; Odysseus, King of Ithaca (Mythological character)",Harvard Classics
1740,The Flying U's Last Stand,"Bower, B. M., 1871-1940",Western stories; Montana -- Fiction; Cowboys -- Fiction; Ranch life -- Fiction,Western
1742,Miss Civilization: A Comedy in One Act,"Davis, Richard Harding, 1864-1916",American drama (Comedy) -- 20th century,One Act Plays
1743,Twelve Stories and a Dream,"Wells, H. G. (Herbert George), 1866-1946","Short stories; Science fiction, English",Science Fiction
1745,The Poetical Works of John Milton,"Milton, John, 1608-1674; Beeching, H. C. (Henry Charles), 1859-1919 [Editor]",English poetry,Harvard Classics
1748,Other People's Money,"Gaboriau, Emile, 1832-1873",Fiction; Detective and mystery stories,Detective Fiction
1751,Twilight Land,"Pyle, Howard, 1853-1911",Fairy tales,Fantasy
1752,El Dorado: An Adventure of the Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness, 1865-1947","Historical fiction; France -- History -- Revolution, 1789-1799 -- Fiction; Adventure stories; British -- France -- Fiction; Blakeney, Percy, Sir (Fictitious character) -- Fiction; Nobility -- Great Britain -- Fiction; Aristocracy (Social class) -- Fiction",Movie Books
1752,El Dorado: An Adventure of the Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness, 1865-1947","Historical fiction; France -- History -- Revolution, 1789-1799 -- Fiction; Adventure stories; British -- France -- Fiction; Blakeney, Percy, Sir (Fictitious character) -- Fiction; Nobility -- Great Britain -- Fiction; Aristocracy (Social class) -- Fiction",Adventure
1753,Swan Song,"Chekhov, Anton Pavlovich, 1860-1904; Fell, Marian [Translator]",Russia -- Social life and customs -- Drama; Russian drama -- Translations into English,One Act Plays
1787,Hamlet,"Shakespeare, William, 1564-1616",Tragedies; Hamlet (Legendary character) -- Drama; Kings and rulers -- Succession -- Drama; Murder victims' families -- Drama; Fathers -- Death -- Drama; Revenge -- Drama; Princes -- Drama; Denmark -- Drama,Best Books Ever Listings
1794,King Lear,"Shakespeare, William, 1564-1616","Tragedies; Fathers and daughters -- Drama; Inheritance and succession -- Drama; Lear, King (Legendary character) -- Drama; Britons -- Drama; Kings and rulers -- Drama; Aging parents -- Drama",Best Books Ever Listings
1804,"War and the Future: Italy, France and Britain at War","Wells, H. G. (Herbert George), 1866-1946","World War, 1914-1918",World War I
1804,"War and the Future: Italy, France and Britain at War","Wells, H. G. (Herbert George), 1866-1946","World War, 1914-1918","Bestsellers, American, 1895-1923"
1809,Bucky O'Connor: A Tale of the Unfenced Border,"Raine, William MacLeod, 1871-1954",Fiction; Western stories,Western
1815,The Boys' Life of Abraham Lincoln,"Nicolay, Helen, 1866-1954","Lincoln, Abraham, 1809-1865; Presidents -- United States -- Biography",US Civil War
1825,The Adventures of Reddy Fox,"Burgess, Thornton W. (Thornton Waldo), 1874-1965",Animals -- Juvenile fiction; Foxes -- Juvenile fiction,Children's Book Series
1825,The Adventures of Reddy Fox,"Burgess, Thornton W. (Thornton Waldo), 1874-1965",Animals -- Juvenile fiction; Foxes -- Juvenile fiction,Children's Literature
1831,The Lock and Key Library: Classic Mystery and Detective Stories: Old Time English,"De Quincey, Thomas, 1785-1859 [Contributor]; Dickens, Charles, 1812-1870 [Contributor]; Lytton, Edward Bulwer Lytton, Baron, 1803-1873 [Contributor]; Maturin, Charles Robert, 1780-1824 [Contributor]; Sterne, Laurence, 1713-1768 [Contributor]; Thackeray, William Makepeace, 1811-1863 [Contributor]; Hawthorne, Julian, 1846-1934 [Editor]",Fiction; Detective and mystery stories; Ghost stories,Gothic Fiction
1831,The Lock and Key Library: Classic Mystery and Detective Stories: Old Time English,"De Quincey, Thomas, 1785-1859 [Contributor]; Dickens, Charles, 1812-1870 [Contributor]; Lytton, Edward Bulwer Lytton, Baron, 1803-1873 [Contributor]; Maturin, Charles Robert, 1780-1824 [Contributor]; Sterne, Laurence, 1713-1768 [Contributor]; Thackeray, William Makepeace, 1811-1863 [Contributor]; Hawthorne, Julian, 1846-1934 [Editor]",Fiction; Detective and mystery stories; Ghost stories,Short Stories
1837,The Prince and the Pauper,"Twain, Mark, 1835-1910","Historical fiction; London (England) -- Fiction; Impostors and imposture -- Fiction; Boys -- Fiction; Social classes -- Fiction; Princes -- Fiction; Edward VI, King of England, 1537-1553 -- Fiction; Poor children -- Fiction; Lookalikes -- Fiction",Historical Fiction
1845,"Zuleika Dobson; Or, An Oxford Love Story","Beerbohm, Max, Sir, 1872-1956",Young women -- Fiction; Love stories; College stories; College students -- Fiction; University of Oxford -- Fiction; Oxford (England) -- Fiction,Best Books Ever Listings
1848,Montezuma's Daughter,"Haggard, H. Rider (Henry Rider), 1856-1925","Mexico -- History -- Conquest, 1519-1540 -- Fiction",Historical Fiction
1860,"Westward Ho! Or, The Voyages and Adventures of Sir Amyas Leigh, Knight, of Burrough, in the County of Devon, in the Reign of Her Most Glorious Majesty Queen Elizabeth","Kingsley, Charles, 1819-1875","Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction",Historical Fiction
1864,Hero Tales from American History,"Lodge, Henry Cabot, 1850-1924; Roosevelt, Theodore, 1858-1919","United States -- History; United States -- Biography; National characteristics, American -- Anecdotes; Heroes -- United States -- Biography -- Anecdotes; Generals -- United States -- Biography -- Anecdotes; Pioneers -- United States -- Biography -- Anecdotes; United States -- History -- Anecdotes; United States -- Biography -- Anecdotes",Children's History
1864,Hero Tales from American History,"Lodge, Henry Cabot, 1850-1924; Roosevelt, Theodore, 1858-1919","United States -- History; United States -- Biography; National characteristics, American -- Anecdotes; Heroes -- United States -- Biography -- Anecdotes; Generals -- United States -- Biography -- Anecdotes; Pioneers -- United States -- Biography -- Anecdotes; United States -- History -- Anecdotes; United States -- Biography -- Anecdotes",US Civil War
1867,The Diary of a Goose Girl,"Wiggin, Kate Douglas Smith, 1856-1923; Shepperson, Claude A. (Claude Allin), 1867-1921 [Illustrator]",England -- Juvenile fiction; Geese -- Juvenile fiction,Children's Literature
1868,Penelope's Postscripts,"Wiggin, Kate Douglas Smith, 1856-1923",Europe -- Description and travel -- Juvenile fiction; Young women -- Travel -- Europe -- Juvenile fiction; Americans -- Europe -- Juvenile fiction; Europe -- Social life and customs -- 20th century -- Juvenile fiction,Children's Literature
1869,The Man in Lower Ten,"Rinehart, Mary Roberts, 1876-1958",Detective and mystery stories; Murder -- Fiction; Railroad travel -- Fiction,"Bestsellers, American, 1895-1923"
1872,The Red House Mystery,"Milne, A. A. (Alan Alexander), 1882-1956",Detective and mystery stories; England -- Fiction,Detective Fiction
1874,The Railway Children,"Nesbit, E. (Edith), 1858-1924",Railroads -- Fiction; Country life -- England -- Fiction; England -- Fiction; Family life -- Fiction; Siblings -- Fiction,Children's Fiction
1874,The Railway Children,"Nesbit, E. (Edith), 1858-1924",Railroads -- Fiction; Country life -- England -- Fiction; England -- Fiction; Family life -- Fiction; Siblings -- Fiction,Children's Literature
1880,"The Pathfinder; Or, The Inland Sea","Cooper, James Fenimore, 1789-1851","Historical fiction; Indians of North America -- Fiction; War stories; United States -- History -- French and Indian War, 1754-1763 -- Fiction; Love stories; Frontier and pioneer life -- Fiction; Bumppo, Natty (Fictitious character) -- Fiction; Ontario, Lake (N.Y. and Ont.) -- Fiction",Harvard Classics
1881,The Call of the Canyon,"Grey, Zane, 1872-1939","Western stories; Frontier and pioneer life -- West (U.S.) -- Fiction; Arizona -- Fiction; World War, 1914-1918 -- Veterans -- Fiction; Fiancés -- Fiction",Western
1882,The Young Forester,"Grey, Zane, 1872-1939",Western stories; Bildungsromans; Arizona -- Fiction,Western
1887,The Life of the Spider,"Fabre, Jean-Henri, 1823-1915; Teixeira de Mattos, Alexander, 1865-1921 [Translator]",Spiders,Animals-Wild
1889,"Bird Neighbors
An Introductory Acquaintance with One Hundred and Fifty Birds Commonly Found in the Gardens, Meadows, and Woods About Our Homes","Blanchan, Neltje, 1865-1918; Burroughs, John, 1837-1921 [Author of introduction, etc.]",Birds,Animals-Wild-Birds
1896,Under the red robe,"Weyman, Stanley John, 1855-1928","France -- History -- Louis XIII, 1610-1643 -- Fiction",Historical Fiction
1897,The Seventh Man,"Brand, Max, 1892-1944",Fiction; Western stories,Western
1902,The Old Peabody Pew: A Christmas Romance of a Country Church,"Wiggin, Kate Douglas Smith, 1856-1923",Christmas stories; Country life -- Fiction; Christian fiction; Church buildings -- Fiction,Christmas
1906,"Erewhon; Or, Over the Range","Butler, Samuel, 1835-1902",Satire; Utopias -- Fiction; Utopian fiction,Best Books Ever Listings
1906,"Erewhon; Or, Over the Range","Butler, Samuel, 1835-1902",Satire; Utopias -- Fiction; Utopian fiction,New Zealand
1907,Rowdy of the Cross L,"Bower, B. M., 1871-1940",Western stories; Cowboys -- Fiction; Ranchers -- Fiction,Western
1908,Her Prairie Knight,"Bower, B. M., 1871-1940",Western stories; Montana -- Fiction; Cowboys -- Fiction,Western
1909,Darwin and Modern Science,"Seward, A. C. (Albert Charles), 1863-1941","Evolution (Biology); Science -- History; Darwin, Charles, 1809-1882",Biology
1911,Concerning Christian Liberty; with Letter of Martin Luther to Pope Leo X.,"Luther, Martin, 1483-1546",Reformation -- Germany,Christianity
1921,The Chouans,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",French fiction -- Translations into English; Chouans -- Fiction,Historical Fiction
1929,The School for Scandal,"Sheridan, Richard Brinsley, 1751-1816",Comedies; English drama -- 18th century; England -- Social life and customs -- 18th century -- Drama; Nobility -- England -- History -- 18th century -- Drama,Harvard Classics
1936,"Letters from England, 1846-1849","Bancroft, Elizabeth Davis, 1803-1886",England -- Description and travel,United Kingdom
1937,The Second Jungle Book,"Kipling, Rudyard, 1865-1936",India -- Fiction; Jungle animals -- Fiction; Mowgli (Fictitious character) -- Fiction,Children's Literature
1937,The Second Jungle Book,"Kipling, Rudyard, 1865-1936",India -- Fiction; Jungle animals -- Fiction; Mowgli (Fictitious character) -- Fiction,Scouts
1939,A Gentleman of France: Being the Memoirs of Gaston de Bonne Sieur de Marsac,"Weyman, Stanley John, 1855-1928","Historical fiction; France -- History -- Henry III, 1574-1589 -- Fiction",Historical Fiction
1945,Egmont,"Goethe, Johann Wolfgang von, 1749-1832; Swanwick, Anna, 1813-1899 [Translator]","Egmont, Lamoraal, Graaf van, 1522-1568 -- Drama; Tragedies",Harvard Classics
1947,Scaramouche: A Romance of the French Revolution,"Sabatini, Rafael, 1875-1950","France -- History -- Revolution, 1789-1799 -- Fiction; War stories; Love stories; Adventure stories",Adventure
1947,Scaramouche: A Romance of the French Revolution,"Sabatini, Rafael, 1875-1950","France -- History -- Revolution, 1789-1799 -- Fiction; War stories; Love stories; Adventure stories",Best Books Ever Listings
1947,Scaramouche: A Romance of the French Revolution,"Sabatini, Rafael, 1875-1950","France -- History -- Revolution, 1789-1799 -- Fiction; War stories; Love stories; Adventure stories",Movie Books
1949,On the Ruin of Britain,"Gildas, 516?-570?; Giles, J. A. (John Allen), 1808-1884 [Translator]",Anglo-Saxons; Great Britain -- History -- To 449,Arthurian Legends
1951,The Coming Race,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873","Science fiction; Utopias -- Fiction; Utopian fiction; Civilization, Subterranean -- Fiction; Underground areas -- Fiction",Best Books Ever Listings
1951,The Coming Race,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873","Science fiction; Utopias -- Fiction; Utopian fiction; Civilization, Subterranean -- Fiction; Underground areas -- Fiction",Precursors of Science Fiction
1952,The Yellow Wallpaper,"Gilman, Charlotte Perkins, 1860-1935",Psychological fiction; Mentally ill women -- Fiction; Feminist fiction; Married women -- Psychology -- Fiction; Sex role -- Fiction,Gothic Fiction
1961,Books and Bookmen,"Lang, Andrew, 1844-1912",Books; Book collecting; Bibliomania; Literary forgeries and mystifications,Bibliomania
1965,Captain Blood,"Sabatini, Rafael, 1875-1950",Historical fiction; Sea stories; Physicians -- Fiction; Adventure stories; Pirates -- Fiction; Caribbean Area -- Fiction; British -- Caribbean Area -- Fiction,Adventure
1965,Captain Blood,"Sabatini, Rafael, 1875-1950",Historical fiction; Sea stories; Physicians -- Fiction; Adventure stories; Pirates -- Fiction; Caribbean Area -- Fiction; British -- Caribbean Area -- Fiction,Best Books Ever Listings
1965,Captain Blood,"Sabatini, Rafael, 1875-1950",Historical fiction; Sea stories; Physicians -- Fiction; Adventure stories; Pirates -- Fiction; Caribbean Area -- Fiction; British -- Caribbean Area -- Fiction,"Pirates, Buccaneers, Corsairs, etc."
1965,Captain Blood,"Sabatini, Rafael, 1875-1950",Historical fiction; Sea stories; Physicians -- Fiction; Adventure stories; Pirates -- Fiction; Caribbean Area -- Fiction; British -- Caribbean Area -- Fiction,Movie Books
1970,A Poor Wise Man,"Rinehart, Mary Roberts, 1876-1958",Mystery fiction,"Bestsellers, American, 1895-1923"
1972,History of the Britons (Historia Brittonum),"Nennius, active 796; Giles, J. A. (John Allen), 1808-1884 [Translator]","Great Britain -- History -- Roman period, 55 B.C.-449 A.D.; Britons",Arthurian Legends
1974,The Poetics of Aristotle,"Aristotle, 385 BCE-323 BCE; Butcher, S. H. (Samuel Henry), 1850-1910 [Translator]",Poetry -- Early works to 1800; Aesthetics -- Early works to 1800,Classical Antiquity
1974,The Poetics of Aristotle,"Aristotle, 385 BCE-323 BCE; Butcher, S. H. (Samuel Henry), 1850-1910 [Translator]",Poetry -- Early works to 1800; Aesthetics -- Early works to 1800,Philosophy
1977,Phaedra,"Racine, Jean, 1639-1699; Boswell, Robert Bruce [Translator]",Phaedra (Greek mythology) -- Drama; Tragedies,Harvard Classics
1979,The Perdue Chicken Cookbook,"Perdue, Mitzi",Cooking (Chicken); Cookbooks,Cookbooks and Cooking
1980,Stories by English Authors: Africa (Selected by Scribners),"Addleshaw, Percy, 1866-1916 [Contributor]; Doyle, Arthur Conan, 1859-1930 [Contributor]; Haggard, H. Rider (Henry Rider), 1856-1925 [Contributor]; Landers, J. [Contributor]; Scully, W. C. (William Charles), 1855-1943 [Contributor]","Africa -- Fiction; Short stories, English",Africa
1980,Stories by English Authors: Africa (Selected by Scribners),"Addleshaw, Percy, 1866-1916 [Contributor]; Doyle, Arthur Conan, 1859-1930 [Contributor]; Haggard, H. Rider (Henry Rider), 1856-1925 [Contributor]; Landers, J. [Contributor]; Scully, W. C. (William Charles), 1855-1943 [Contributor]","Africa -- Fiction; Short stories, English",Short Stories
1987,The Outlet,"Adams, Andy, 1859-1935",Fiction; Western stories,Western
1989,"The Foolish Dictionary
An exhausting work of reference to un-certain English words, their origin, meaning, legitimate and illegitimate use, confused by a few pictures [not included]","Wurdz, Gideon, 1875-",American wit and humor; English language -- Dictionaries -- Humor; English language -- Semantics -- Humor; Vocabulary -- Humor,Humor
1989,"The Foolish Dictionary
An exhausting work of reference to un-certain English words, their origin, meaning, legitimate and illegitimate use, confused by a few pictures [not included]","Wurdz, Gideon, 1875-",American wit and humor; English language -- Dictionaries -- Humor; English language -- Semantics -- Humor; Vocabulary -- Humor,Reference
1992,"Travels in England during the reign of Queen Elizabeth; with Fragmenta regalia
or, Observations on Queen Elizabeth, her times and favourites","Hentzner, Paul, 1558-1623; Naunton, Robert, Sir, 1563-1635","Great Britain -- Court and courtiers -- Early works to 1800; Great Britain -- Description and travel -- Early works to 1800; Great Britain -- History -- Elizabeth, 1558-1603; Elizabeth I, Queen of England, 1533-1603 -- Contemporaries",United Kingdom
1993,Told After Supper,"Jerome, Jerome K. (Jerome Klapka), 1859-1927","Short stories; Ghost stories, English",Contemporary Reviews
1995,"The Divine Comedy, Volume 1, Hell","Dante Alighieri, 1265-1321; Norton, Charles Eliot, 1827-1908 [Translator]","Hell -- Poetry; Epic poetry, Italian -- Translations into English; Italian poetry -- To 1400 -- Translations into English",Harvard Classics
1995,"The Divine Comedy, Volume 1, Hell","Dante Alighieri, 1265-1321; Norton, Charles Eliot, 1827-1908 [Translator]","Hell -- Poetry; Epic poetry, Italian -- Translations into English; Italian poetry -- To 1400 -- Translations into English",Italy
1996,"The Divine Comedy, Volume 2, Purgatory","Dante Alighieri, 1265-1321; Norton, Charles Eliot, 1827-1908 [Translator]","Epic poetry, Italian -- Translations into English; Italian poetry -- To 1400 -- Translations into English",Italy
1997,"The Divine Comedy, Volume 3, Paradise","Dante Alighieri, 1265-1321; Norton, Charles Eliot, 1827-1908 [Translator]","Epic poetry, Italian -- Translations into English; Italian poetry -- To 1400 -- Translations into English",Italy
1998,Thus Spake Zarathustra: A Book for All and None,"Nietzsche, Friedrich Wilhelm, 1844-1900; Common, Thomas, 1850-1919 [Translator]","Superman (Philosophical concept); Philosophy, German",Philosophy
2005,Piccadilly Jim,"Wodehouse, P. G. (Pelham Grenville), 1881-1975","Humorous stories; Piccadilly (London, England) -- Fiction",Best Books Ever Listings
2005,Piccadilly Jim,"Wodehouse, P. G. (Pelham Grenville), 1881-1975","Humorous stories; Piccadilly (London, England) -- Fiction",Humor
2009,"The Origin of Species by Means of Natural Selection
Or, the Preservation of Favoured Races in the Struggle for Life, 6th Edition","Darwin, Charles, 1809-1882",Evolution (Biology); Natural selection,Harvard Classics
2009,"The Origin of Species by Means of Natural Selection
Or, the Preservation of Favoured Races in the Struggle for Life, 6th Edition","Darwin, Charles, 1809-1882",Evolution (Biology); Natural selection,Biology
2011,Rudder Grange,"Stockton, Frank R., 1834-1902",Humorous stories; Housekeeping -- Fiction; Husband and wife -- Fiction; Household employees -- Fiction; Canal-boats -- Fiction,Contemporary Reviews
2016,The 1998 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",CIA World Factbooks
2017,"Dhammapada, a Collection of Verses; Being One of the Canonical Books of the Buddhists","Müller, F. Max (Friedrich Max), 1823-1900 [Translator]",Buddhism; Theravada Buddhism -- Sacred texts,Buddhism
2018,The Library,"Lang, Andrew, 1844-1912",Books; Book collecting,Bibliomania
2020,Tarzan the Terrible,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,Movie Books
2020,Tarzan the Terrible,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,Adventure
2021,Nostromo: A Tale of the Seaboard,"Conrad, Joseph, 1857-1924",Sea stories; Political fiction; Sailors -- Fiction; Revolutions -- Fiction; Latin America -- Fiction,Best Books Ever Listings
2022,Angling Sketches,"Lang, Andrew, 1844-1912",Fishing,Contemporary Reviews
2024,Diary of a Pilgrimage,"Jerome, Jerome K. (Jerome Klapka), 1859-1927","Germany -- Description and travel; Europe -- Description and travel; Jerome, Jerome K. (Jerome Klapka), 1859-1927 -- Travel -- Europe; Humorists, English -- 19th century -- Biography; British -- Europe -- History -- 19th century; Oberammergauer Passionsspiel",Contemporary Reviews
2027,"Tartuffe; Or, The Hypocrite","Molière, 1622-1673; Page, Curtis Hidden, 1870-1946 [Translator]",Comedies; French drama -- 17th century -- Translations into English,Harvard Classics
2028,The Yellow Claw,"Rohmer, Sax, 1883-1959",Detective and mystery stories; Murder -- Fiction; Hoodlums -- Fiction; London (England) -- Social life and customs -- Fiction,Crime Fiction
2030,Legends of Babylon and Egypt in Relation to Hebrew Tradition,"King, L. W. (Leonard William), 1869-1919","Deluge; Creation; Cosmogony, Babylonian; Babylonia -- Antiquities; Egypt -- Antiquities; Bible. Old Testament -- Evidences, authority, etc.; Bible -- Evidences, authority, etc.",Mythology
2030,Legends of Babylon and Egypt in Relation to Hebrew Tradition,"King, L. W. (Leonard William), 1869-1919","Deluge; Creation; Cosmogony, Babylonian; Babylonia -- Antiquities; Egypt -- Antiquities; Bible. Old Testament -- Evidences, authority, etc.; Bible -- Evidences, authority, etc.",Egypt
2031,The Lock and Key Library: The Most Interesting Stories of All Nations: Real Life,"Abbott, David P. (David Phelps), 1863-1934 [Contributor]; Carrington, Hereward, 1880-1959 [Contributor]; Lang, Andrew, 1844-1912 [Contributor]; Robert-Houdin, Jean-Eugène, 1805-1871 [Contributor]; Train, Arthur Cheney, 1875-1945 [Contributor]; Woodward, P. H. (Patrick Henry), 1833-1917 [Contributor]; Hawthorne, Julian, 1846-1934 [Editor]",Fiction; Parapsychology; Detective and mystery stories,Short Stories
2034,"Waverley; Or, 'Tis Sixty Years Since","Scott, Walter, 1771-1832","Historical fiction; Jacobite Rebellion, 1745-1746 -- Fiction",Historical Fiction
2035,Stories by English Authors: The Orient (Selected by Scribners),"Beaumont, Mary [Contributor]; Douglas, Robert K. (Robert Kennaway), Sir, 1838-1913 [Contributor]; Kipling, Rudyard, 1865-1936 [Contributor]; Mitford, Mary Russell, 1787-1855 [Contributor]; Roberts, Morley, 1857-1942 [Contributor]; Syrett, Netta, 1865-1943 [Contributor]",Fiction; Short stories,Short Stories
2038,The Lock and Key Library: Classic Mystery and Detective Stories: Modern English,"Castle, Egerton, 1858-1920 [Contributor]; Collins, Wilkie, 1824-1889 [Contributor]; Doyle, Arthur Conan, 1859-1930 [Contributor]; Kipling, Rudyard, 1865-1936 [Contributor]; Stevenson, Robert Louis, 1850-1894 [Contributor]; Weyman, Stanley John, 1855-1928 [Contributor]; Hawthorne, Julian, 1846-1934 [Editor]","Fiction; Short stories; Detective and mystery stories, English",Short Stories
2039,Evangeline: A Tale of Acadie,"Longfellow, Henry Wadsworth, 1807-1882",American poetry; Acadians -- Poetry,Poetry
2040,Confessions of an English Opium-Eater,"De Quincey, Thomas, 1785-1859","Opium abuse -- England; Authors, English -- 19th century -- Biography; De Quincey, Thomas, 1785-1859; Drug addicts -- Great Britain -- Biography",Gothic Fiction
2041,The House of the Wolf: A Romance,"Weyman, Stanley John, 1855-1928","Saint Bartholomew's Day, Massacre of, France, 1572 -- Fiction",Historical Fiction
